dtype,d,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
float32,32,32768,triton_flash,2.5638539791107178,34.236248254776,36.80010223388672
float32,32,65536,pytorch,,,
float32,32,65536,triton_flash,10.114856719970703,,
float32,64,128,pytorch,0.13064712285995483,0.5412216186523438,0.6718687415122986
float32,64,128,triton_flash,0.014301666058599949,0.6242158925160766,0.6385175585746765
float32,64,256,pytorch,0.13519208133220673,0.5409094244241714,0.6761015057563782
float32,64,256,triton_flash,0.020251400768756866,0.6249312087893486,0.6451826095581055
float32,64,512,pytorch,0.13928042352199554,0.5488250404596329,0.6881054639816284
float32,64,512,triton_flash,0.03301728516817093,0.6177325770258904,0.6507498621940613
float32,64,1024,pytorch,0.13825109601020813,0.5642800033092499,0.702531099319458
float32,64,1024,triton_flash,0.059274349361658096,0.6094330213963985,0.6687073707580566
float32,64,2048,pytorch,0.20861725509166718,0.4898863583803177,0.6985036134719849
float32,64,2048,triton_flash,0.11078418791294098,0.5565537661314011,0.667337954044342
float32,64,4096,pytorch,0.6637576222419739,1.0878928303718567,1.7516504526138306
float32,64,4096,triton_flash,0.21500347554683685,0.9016343504190445,1.1166378259658813
float32,64,8192,pytorch,2.456576108932495,4.298021078109741,6.754597187042236
float32,64,8192,triton_flash,0.44004735350608826,3.473032623529434,3.9130799770355225
float32,64,16384,pytorch,9.893942832946777,16.94670581817627,26.840648651123047
float32,64,16384,triton_flash,1.2568162679672241,13.379923462867737,14.636739730834961
float32,64,32768,pytorch,43.36127853393555,66.06643295288086,109.4277114868164
float32,64,32768,triton_flash,4.112161159515381,51.91156244277954,56.02372360229492
float32,64,65536,pytorch,,,
float32,64,65536,triton_flash,17.249839782714844,,
float32,128,128,pytorch,0.11557603627443314,0.5213436409831047,0.6369196772575378
float32,128,128,triton_flash,0.020308636128902435,0.548356868326664,0.5686655044555664
float32,128,256,pytorch,0.1258781999349594,0.517955556511879,0.6438337564468384
float32,128,256,triton_flash,0.03286709636449814,0.5871860161423683,0.6200531125068665
float32,128,512,pytorch,0.12279844284057617,0.5262462496757507,0.6490446925163269
float32,128,512,triton_flash,0.05700226500630379,0.5593465976417065,0.6163488626480103
float32,128,1024,pytorch,0.13184888660907745,0.5270644873380661,0.6589133739471436
float32,128,1024,triton_flash,0.10707969963550568,0.5175818651914597,0.6246615648269653
float32,128,2048,pytorch,0.26466867327690125,0.4545592963695526,0.7192279696464539
float32,128,2048,triton_flash,0.2079632580280304,0.4668257534503937,0.6747890114784241
float32,128,4096,pytorch,0.8985901474952698,1.6054357886314392,2.504025936126709
float32,128,4096,triton_flash,0.5308263897895813,1.5403229594230652,2.0711493492126465
float32,128,8192,pytorch,3.398730516433716,6.066050291061401,9.464780807495117
float32,128,8192,triton_flash,1.7835369110107422,5.751260280609131,7.534797191619873
float32,128,16384,pytorch,13.55659008026123,24.33305072784424,37.88964080810547
float32,128,16384,triton_flash,5.626699447631836,22.632482528686523,28.25918197631836
float32,128,32768,pytorch,57.47541427612305,94.37968826293945,151.8551025390625
float32,128,32768,triton_flash,20.629276275634766,87.6577033996582,108.28697967529297
float32,128,65536,pytorch,,,
float32,128,65536,triton_flash,82.4273910522461,,
bfloat16,16,128,pytorch,0.12711696326732635,0.5149972587823868,0.6421142220497131
bfloat16,16,128,triton_flash,0.008603598922491074,0.6982087232172489,0.70681232213974
bfloat16,16,256,pytorch,0.12618540227413177,0.5115032941102982,0.6376886963844299
bfloat16,16,256,triton_flash,0.00967857614159584,0.7260054610669613,0.7356840372085571
bfloat16,16,512,pytorch,0.13286401331424713,0.5010183304548264,0.6338823437690735
bfloat16,16,512,triton_flash,0.012342417612671852,0.7070387359708548,0.7193811535835266
bfloat16,16,1024,pytorch,0.13355091214179993,0.5078878104686737,0.6414387226104736
bfloat16,16,1024,triton_flash,0.01767667382955551,0.7104356065392494,0.7281122803688049
bfloat16,16,2048,pytorch,0.1293325573205948,0.4994489401578903,0.6287814974784851
bfloat16,16,2048,triton_flash,0.029038693755865097,0.706197950989008,0.735236644744873
bfloat16,16,4096,pytorch,0.38011330366134644,0.4506337642669678,0.8307470679283142
bfloat16,16,4096,triton_flash,0.050581689924001694,0.6927209533751011,0.7433026432991028
bfloat16,16,8192,pytorch,1.2742047309875488,1.594050645828247,2.868255376815796
bfloat16,16,8192,triton_flash,0.1428881287574768,1.8423064351081848,1.9851945638656616
bfloat16,16,16384,pytorch,4.730341911315918,6.144253730773926,10.874595642089844
bfloat16,16,16384,triton_flash,0.38894155621528625,7.240185469388962,7.629127025604248
bfloat16,16,32768,pytorch,18.75957679748535,25.83331871032715,44.5928955078125
bfloat16,16,32768,triton_flash,1.1940759420394897,28.488611817359924,29.682687759399414
bfloat16,16,65536,pytorch,81.2759017944336,,
bfloat16,16,65536,triton_flash,4.586021423339844,,
bfloat16,32,128,pytorch,0.12433042377233505,0.494148887693882,0.618479311466217
